nohup: ignoring input
part 697: 64684 rows
part 698: 64679 rows
part 699: 64789 rows
part 700: 64418 rows
part 701: 64449 rows
part 702: 64300 rows
part 703: 64583 rows
part 704: 64725 rows
part 705: 64134 rows
part 706: 64220 rows
part 707: 64815 rows
part 708: 64243 rows
part 709: 64557 rows
part 710: 64359 rows
part 711: 64599 rows
part 712: 64680 rows
part 713: 64531 rows
part 714: 64558 rows
part 715: 64243 rows
part 716: 64485 rows
part 717: 64701 rows
part 718: 64476 rows
part 719: 63894 rows
part 720: 64868 rows
part 721: 64316 rows
part 722: 64476 rows
part 723: 63826 rows
part 724: 64175 rows
part 725: 64412 rows
part 726: 64752 rows
part 727: 64498 rows
part 728: 64456 rows
part 729: 64258 rows
part 730: 64459 rows
part 731: 64456 rows
part 732: 64252 rows
part 733: 64790 rows
part 734: 64523 rows
part 735: 64450 rows
part 736: 64667 rows
part 737: 64509 rows
part 738: 64534 rows
part 739: 64442 rows
part 740: 63950 rows
part 741: 64861 rows
part 742: 64614 rows
part 743: 64363 rows
part 744: 64739 rows
part 745: 64407 rows
part 746: 64345 rows
part 747: 64805 rows
part 748: 64759 rows
part 749: 64174 rows
part 750: 64479 rows
part 751: 64439 rows
part 752: 64643 rows
part 753: 64358 rows
part 754: 64037 rows
part 755: 65106 rows
part 756: 64437 rows
part 757: 64384 rows
part 758: 64385 rows
part 759: 64505 rows
part 760: 64697 rows
part 761: 64539 rows
part 762: 64261 rows
part 763: 64770 rows
part 764: 64456 rows
part 765: 64923 rows
part 766: 64507 rows
part 767: 64355 rows
part 768: 64920 rows
part 769: 64410 rows
part 770: 64532 rows
part 771: 64645 rows
part 772: 64157 rows
part 773: 64487 rows
part 774: 64478 rows
part 775: 64066 rows
part 776: 64389 rows
part 777: 64414 rows
part 778: 64158 rows
part 779: 64573 rows
part 780: 64711 rows
part 781: 64134 rows
part 782: 64773 rows
part 783: 64337 rows
part 784: 64906 rows
part 785: 64639 rows
part 786: 64444 rows
part 787: 64551 rows
part 788: 64843 rows
part 789: 64385 rows
part 790: 64724 rows
part 791: 64348 rows
part 792: 64109 rows
part 793: 64157 rows
part 794: 64870 rows
